,中证500
2008-10-15,14004050.0
2008-10-16,17651872.0
2008-10-17,13810887.0
2008-10-20,16738951.0
2008-10-21,20064584.0
2008-10-22,16682010.0
2008-10-23,15466692.0
2008-10-24,15940938.0
2008-10-27,19565598.0
2008-10-28,20157776.0
2008-10-29,18664424.0
2008-10-30,16592959.0
2008-10-31,13754040.0
2008-11-03,12354945.0
2008-11-04,14212153.0
2008-11-05,20628916.0
2008-11-06,16775525.0
2008-11-07,17839228.0
2008-11-10,31892066.0
2008-11-11,34852244.0
2008-11-12,26825960.0
2008-11-13,47507868.0
2008-11-14,55050340.0
2008-11-17,56535912.0
2008-11-18,63976108.0
2008-11-19,53437020.0
2008-11-20,59822600.0
2008-11-21,55083176.0
2008-11-24,37202084.0
2008-11-25,28119452.0
2008-11-26,23963110.0
2008-11-27,47539920.0
2008-11-28,30741424.0
2008-12-01,37176944.0
2008-12-02,50216724.0
2008-12-03,59429076.0
2008-12-04,74284728.0
2008-12-05,51366288.0
2008-12-08,69811088.0
2008-12-09,60845044.0
2008-12-10,52866680.0
2008-12-11,51629824.0
2008-12-12,45509820.0
2008-12-15,36196028.0
2008-12-16,36115416.0
2008-12-17,44330616.0
2008-12-18,41871992.0
2008-12-19,48167944.0
2008-12-22,42559940.0
2008-12-23,45766100.0
2008-12-24,34314088.0
2008-12-25,28189664.0
2008-12-26,21288476.0
2008-12-29,20060068.0
2008-12-30,22269184.0
2008-12-31,19916636.0
2009-01-05,24718228.0
2009-01-06,38325980.0
2009-01-07,40155900.0
2009-01-08,33592608.0
2009-01-09,31585564.0
2009-01-12,38011768.0
2009-01-13,33355966.0
2009-01-14,37642928.0
2009-01-15,50112552.0
2009-01-16,53147016.0
2009-01-19,40780848.0
2009-01-20,32273924.0
2009-01-21,38764396.0
2009-01-22,42052268.0
2009-01-23,37781176.0
2009-02-02,42700512.0
2009-02-03,63882148.0
2009-02-04,69846976.0
2009-02-05,73744120.0
2009-02-06,76563552.0
2009-02-09,90834112.0
2009-02-10,81705152.0
2009-02-11,95073552.0
2009-02-12,80197104.0
2009-02-13,90039520.0
2009-02-16,90691688.0
2009-02-17,85069088.0
2009-02-18,68995992.0
2009-02-19,57010304.0
2009-02-20,60043580.0
2009-02-23,73580424.0
2009-02-24,85993464.0
2009-02-25,68657576.0
2009-02-26,65727756.0
2009-02-27,53180000.0
2009-03-02,37333120.0
2009-03-03,44132148.0
2009-03-04,61254464.0
2009-03-05,70331776.0
2009-03-06,50807744.0
2009-03-09,50605052.0
2009-03-10,35740688.0
2009-03-11,43868976.0
2009-03-12,38265160.0
2009-03-13,36035128.0
2009-03-16,31294852.0
2009-03-17,54249800.0
2009-03-18,68328368.0
2009-03-19,65849600.0
2009-03-20,64333748.0
2009-03-23,70752256.0
2009-03-24,72372152.0
2009-03-25,64925444.0
2009-03-26,57070364.0
2009-03-27,69678992.0
2009-03-30,57376148.0
2009-03-31,59667520.0
2009-04-01,76329272.0
2009-04-02,76376080.0
2009-04-03,66739600.0
2009-04-07,53024736.0
2009-04-08,61578796.0
2009-04-09,49871136.0
2009-04-10,72079936.0
2009-04-13,77994888.0
2009-04-14,76936976.0
2009-04-15,83775472.0
2009-04-16,86665480.0
2009-04-17,76864816.0
2009-04-20,73529072.0
2009-04-21,79868176.0
2009-04-22,86051840.0
2009-04-23,55318760.0
2009-04-24,52483376.0
2009-04-27,53130568.0
2009-04-28,44365084.0
2009-04-29,56199876.0
2009-04-30,62320400.0
2009-05-04,69192008.0
2009-05-05,72957328.0
2009-05-06,72987000.0
2009-05-07,81373896.0
2009-05-08,77862544.0
2009-05-11,79066336.0
2009-05-12,50827088.0
2009-05-13,61448252.0
2009-05-14,59123916.0
2009-05-15,58945696.0
2009-05-18,56313856.0
2009-05-19,71390584.0
2009-05-20,70002824.0
2009-05-21,70062880.0
2009-05-22,49637980.0
2009-05-25,56607344.0
2009-05-26,61079104.0
2009-05-27,50492468.0
2009-06-01,56432388.0
2009-06-02,64421808.0
2009-06-03,65177476.0
2009-06-04,65131060.0
2009-06-05,58164716.0
2009-06-08,52720724.0
2009-06-09,56322992.0
2009-06-10,61203676.0
