,中证500
2010-09-21,4561.67
2010-09-27,4570.61
2010-09-28,4672.15
2010-09-29,4648.16
2010-09-30,4564.81
2010-10-08,4696.38
2010-10-11,4784.65
2010-10-12,4772.91
2010-10-13,4808.39
2010-10-14,4842.69
2010-10-15,4654.27
2010-10-18,4699.03
2010-10-19,4637.96
2010-10-20,4682.65
2010-10-21,4805.7
2010-10-22,4837.33
2010-10-25,4894.85
2010-10-26,5010.02
2010-10-27,5046.21
2010-10-28,4978.54
2010-10-29,5005.66
2010-11-01,5072.76
2010-11-02,5211.47
2010-11-03,5165.91
2010-11-04,5104.77
2010-11-05,5274.57
2010-11-08,5338.51
2010-11-09,5435.36
2010-11-10,5459.4
2010-11-11,5462.76
2010-11-12,5411.87
2010-11-15,5117.16
2010-11-16,5259.51
2010-11-17,4989.8
2010-11-18,4885.91
2010-11-19,4959.06
2010-11-22,5049.46
2010-11-23,5129.37
2010-11-24,5022.13
2010-11-25,5228.27
2010-11-26,5255.26
2010-11-29,5214.45
2010-11-30,5238.5
2010-12-01,5090.4
2010-12-02,5175.26
2010-12-03,5135.83
2010-12-06,5103.86
2010-12-07,4999.59
2010-12-08,5077.55
2010-12-09,5047.04
2010-12-10,4944.93
2010-12-13,5063.01
2010-12-14,5194.94
2010-12-15,5244.8
2010-12-16,5219.08
2010-12-17,5212.14
2010-12-20,5246.42
2010-12-21,5166.34
2010-12-22,5225.77
2010-12-23,5161.26
2010-12-24,5046.94
2010-12-27,4993.38
2010-12-28,4820.82
2010-12-29,4730.63
2010-12-30,4810.44
2010-12-31,4833.89
2011-01-04,4964.21
2011-01-05,4989.1
2011-01-06,5026.33
2011-01-07,4990.7
2011-01-10,4966.56
2011-01-11,4811.16
2011-01-12,4813.48
2011-01-13,4851.68
2011-01-14,4816.66
2011-01-17,4690.88
2011-01-18,4502.06
2011-01-19,4538.99
2011-01-20,4637.77
2011-01-21,4459.99
2011-01-24,4506.61
2011-01-25,4390.16
2011-01-26,4339.86
2011-01-27,4397.93
2011-01-28,4497.83
2011-01-31,4544.33
2011-02-01,4612.4
2011-02-09,4597.54
2011-02-10,4604.84
2011-02-11,4736.27
2011-02-14,4792.85
2011-02-15,4878.68
2011-02-16,4860.89
2011-02-17,4962.13
2011-02-18,4977.22
2011-02-21,4911.81
2011-02-22,5052.36
2011-02-23,4891.24
2011-02-24,4976.34
2011-02-25,5019.5
2011-02-28,5040.22
2011-03-01,5099.7
2011-03-02,5099.48
2011-03-03,5106.39
2011-03-04,5005.55
2011-03-07,5085.46
2011-03-08,5135.35
2011-03-09,5168.13
2011-03-10,5174.03
2011-03-11,5118.07
2011-03-14,5127.14
2011-03-15,5178.08
2011-03-16,5122.27
2011-03-17,5151.64
2011-03-18,5133.77
2011-03-21,5120.67
2011-03-22,5093.41
2011-03-23,5084.77
2011-03-24,5159.2
2011-03-25,5164.82
2011-03-28,5223.07
2011-03-29,5185.68
2011-03-30,5101.11
2011-03-31,5065.12
2011-04-01,4999.76
2011-04-06,5046.9
2011-04-07,5056.09
2011-04-08,5087.31
2011-04-11,5157.07
2011-04-12,5096.57
2011-04-13,5098.64
2011-04-14,5162.31
2011-04-15,5143.3
2011-04-18,5149.34
2011-04-19,5149.66
2011-04-20,5116.11
2011-04-21,5169.62
2011-04-22,5187.76
2011-04-25,5152.07
2011-04-26,5033.79
2011-04-27,4977.95
2011-04-28,4920.94
2011-04-29,4749.53
2011-05-03,4836.86
2011-05-04,4900.44
2011-05-05,4792.13
2011-05-06,4787.52
2011-05-09,4855.84
2011-05-10,4893.95
2011-05-11,4919.24
2011-05-12,4896.33
2011-05-13,4860.03
2011-05-16,4900.0
2011-05-17,4892.29
2011-05-18,4859.32
2011-05-19,4912.81
2011-05-20,4875.08
2011-05-23,4853.9
2011-05-24,4656.01
2011-05-25,4667.64
2011-05-26,4635.95
2011-05-27,4561.77
2011-05-30,4403.0
2011-05-31,4347.99
2011-06-01,4439.39
2011-06-02,4434.86
2011-06-03,4425.49
2011-06-07,4496.96
2011-06-08,4542.7
2011-06-09,4552.07
2011-06-10,4442.51
2011-06-13,4439.87
2011-06-14,4466.99
2011-06-15,4531.36
2011-06-16,4461.26
2011-06-17,4392.98
2011-06-20,4325.6
2011-06-21,4286.36
2011-06-22,4341.36
2011-06-23,4307.81
2011-06-24,4390.09
2011-06-27,4511.76
2011-06-28,4569.76
2011-06-29,4570.84
2011-06-30,4506.75
2011-07-01,4589.17
2011-07-04,4617.95
2011-07-05,4722.33
2011-07-06,4742.17
2011-07-07,4757.07
2011-07-08,4755.75
2011-07-11,4741.98
2011-07-12,4762.09
2011-07-13,4729.2
2011-07-14,4833.75
2011-07-15,4853.75
2011-07-18,4902.22
2011-07-19,4871.68
2011-07-20,4864.28
2011-07-21,4846.34
2011-07-22,4791.46
2011-07-25,4784.97
2011-07-26,4604.99
2011-07-27,4621.5
2011-07-28,4670.92
2011-07-29,4678.78
2011-08-01,4622.7
2011-08-02,4627.38
2011-08-03,4565.76
2011-08-04,4631.42
2011-08-05,4504.08
2011-08-08,4494.38
2011-08-09,4199.13
2011-08-10,4389.15
2011-08-11,4283.24
2011-08-12,4483.85
2011-08-15,4514.65
2011-08-16,4578.35
2011-08-17,4520.68
2011-08-18,4510.13
2011-08-19,4341.19
2011-08-22,4395.03
2011-08-23,4376.26
2011-08-24,4453.43
2011-08-25,4432.41
2011-08-26,4506.09
2011-08-29,4509.89
2011-08-30,4511.25
2011-08-31,4449.68
2011-09-01,4435.33
2011-09-02,4387.3
2011-09-05,4305.44
2011-09-06,4205.09
2011-09-07,4221.99
2011-09-08,4320.53
2011-09-09,4256.48
2011-09-13,4176.3
2011-09-14,4176.04
2011-09-15,4215.37
2011-09-16,4229.0
2011-09-19,4200.48
2011-09-20,4121.03
2011-09-21,4150.82
2011-09-22,4241.42
2011-09-23,4079.06
2011-09-26,4102.61
2011-09-27,4077.23
2011-09-28,4088.78
2011-09-29,3977.14
2011-09-30,3875.02
2011-10-10,3866.85
2011-10-11,3919.44
2011-10-12,3803.96
2011-10-13,3943.16
2011-10-14,3994.73
2011-10-17,3993.75
2011-10-18,3974.46
2011-10-19,3882.02
2011-10-20,3841.26
2011-10-21,3733.7
2011-10-24,3675.72
2011-10-25,3735.63
2011-10-26,3818.24
2011-10-27,3890.26
2011-10-28,3932.85
2011-10-31,3975.07
2011-11-01,3963.37
2011-11-02,3937.9
2011-11-03,4085.5
2011-11-04,4115.1
2011-11-07,4125.02
2011-11-08,4115.77
2011-11-09,4065.2
2011-11-10,4080.36
2011-11-11,4069.4
2011-11-14,4092.06
2011-11-15,4159.16
2011-11-16,4194.38
2011-11-17,4086.51
2011-11-18,4054.46
2011-11-21,3956.39
2011-11-22,3932.5
2011-11-23,3964.14
2011-11-24,3909.39
2011-11-25,3931.1
2011-11-28,3916.0
2011-11-29,3945.36
2011-11-30,3974.73
2011-12-01,3923.16
2011-12-02,3878.01
2011-12-05,3806.47
2011-12-06,3679.74
2011-12-07,3689.05
2011-12-08,3695.87
2011-12-09,3672.59
2011-12-12,3663.56
2011-12-13,3597.09
2011-12-14,3477.05
2011-12-15,3401.5
2011-12-16,3328.21
2011-12-19,3408.56
2011-12-20,3422.76
2011-12-21,3449.37
2011-12-22,3315.84
2011-12-23,3286.45
2011-12-26,3321.98
2011-12-27,3297.41
2011-12-28,3201.31
2011-12-29,3190.19
2011-12-30,3214.19
2012-01-04,3290.82
2012-01-05,3173.01
2012-01-06,3060.45
2012-01-09,3089.45
2012-01-10,3211.57
2012-01-11,3342.55
2012-01-12,3330.9
2012-01-13,3343.53
2012-01-16,3201.01
2012-01-17,3128.51
2012-01-18,3310.04
2012-01-19,3230.87
2012-01-20,3276.48
2012-01-30,3326.61
2012-01-31,3284.9
2012-02-01,3287.22
2012-02-02,3271.59
2012-02-03,3324.4
2012-02-06,3387.22
2012-02-07,3397.77
2012-02-08,3351.04
2012-02-09,3441.79
2012-02-10,3463.97
2012-02-13,3458.81
2012-02-14,3516.61
2012-02-15,3518.79
2012-02-16,3572.32
2012-02-17,3582.51
2012-02-20,3610.74
2012-02-21,3569.23
2012-02-22,3617.18
2012-02-23,3686.73
2012-02-24,3698.68
2012-02-27,3767.6
2012-02-28,3748.34
2012-02-29,3733.63
2012-03-01,3679.04
2012-03-02,3719.96
2012-03-05,3805.68
2012-03-06,3786.16
2012-03-07,3718.76
2012-03-08,3741.48
2012-03-09,3802.09
2012-03-12,3852.61
2012-03-13,3867.97
2012-03-14,3924.49
2012-03-15,3726.37
2012-03-16,3693.32
2012-03-19,3788.39
2012-03-20,3819.72
2012-03-21,3757.0
2012-03-22,3754.87
2012-03-23,3727.15
2012-03-26,3661.39
2012-03-27,3681.74
2012-03-28,3638.77
2012-03-29,3471.36
2012-03-30,3422.81
2012-04-05,3420.03
2012-04-06,3530.63
2012-04-09,3544.01
2012-04-10,3496.12
2012-04-11,3513.5
2012-04-12,3568.81
2012-04-13,3653.6
2012-04-16,3644.67
2012-04-17,3679.92
2012-04-18,3637.55
2012-04-19,3712.53
2012-04-20,3696.66
2012-04-23,3731.55
2012-04-24,3658.62
2012-04-25,3654.75
2012-04-26,3720.74
2012-04-27,3690.16
2012-05-02,3707.82
2012-05-03,3707.51
2012-05-04,3730.72
2012-05-07,3741.66
2012-05-08,3783.08
2012-05-09,3759.39
2012-05-10,3713.4
2012-05-11,3727.59
2012-05-14,3745.83
2012-05-15,3679.34
2012-05-16,3696.61
2012-05-17,3656.83
2012-05-18,3691.64
2012-05-21,3650.92
2012-05-22,3666.14
2012-05-23,3702.81
2012-05-24,3697.92
2012-05-25,3675.51
2012-05-28,3622.13
2012-05-29,3686.57
2012-05-30,3739.04
2012-05-31,3732.47
2012-06-01,3752.02
2012-06-04,3684.04
2012-06-05,3625.14
2012-06-06,3621.64
2012-06-07,3635.57
2012-06-08,3615.11
2012-06-11,3565.34
2012-06-12,3611.92
2012-06-13,3615.71
2012-06-14,3669.04
2012-06-15,3657.79
2012-06-18,3663.14
2012-06-19,3681.68
2012-06-20,3663.99
2012-06-21,3628.22
2012-06-25,3576.37
2012-06-26,3474.16
2012-06-27,3486.51
2012-06-28,3484.23
2012-06-29,3413.33
2012-07-02,3491.75
2012-07-03,3507.63
2012-07-04,3519.51
2012-07-05,3486.81
2012-07-06,3436.31
2012-07-09,3464.02
2012-07-10,3386.63
2012-07-11,3358.56
2012-07-12,3398.62
2012-07-13,3435.17
2012-07-16,3434.51
2012-07-17,3297.15
2012-07-18,3328.12
2012-07-19,3343.24
2012-07-20,3382.82
2012-07-23,3347.87
2012-07-24,3317.22
2012-07-25,3350.9
2012-07-26,3329.01
2012-07-27,3312.38
2012-07-30,3280.1
2012-07-31,3211.1
2012-08-01,3152.73
2012-08-02,3212.05
2012-08-03,3203.11
2012-08-06,3250.79
2012-08-07,3336.22
2012-08-08,3363.76
2012-08-09,3351.45
2012-08-10,3400.93
2012-08-13,3386.03
2012-08-14,3312.81
2012-08-15,3340.88
2012-08-16,3301.74
2012-08-17,3283.26
2012-08-20,3270.99
2012-08-21,3287.73
2012-08-22,3338.08
2012-08-23,3303.7
2012-08-24,3318.85
2012-08-27,3250.69
2012-08-28,3179.78
2012-08-29,3197.34
2012-08-30,3174.31
2012-08-31,3122.53
2012-09-03,3135.23
2012-09-04,3202.49
