,创业板
2012-08-09,729.5
2012-08-10,743.29
2012-08-13,742.38
2012-08-14,726.84
2012-08-15,734.87
2012-08-16,728.66
2012-08-17,721.33
2012-08-20,718.14
2012-08-21,730.29
2012-08-22,749.0
2012-08-23,745.47
2012-08-24,747.73
2012-08-27,731.67
2012-08-28,720.83
2012-08-29,726.7
2012-08-30,727.21
2012-08-31,701.37
2012-09-03,703.81
2012-09-04,724.7
2012-09-05,721.07
2012-09-06,732.46
2012-09-07,744.65
2012-09-10,759.69
2012-09-11,761.55
2012-09-12,763.05
2012-09-13,761.78
2012-09-14,753.6
2012-09-17,742.69
2012-09-18,722.38
2012-09-19,724.89
2012-09-20,727.96
2012-09-21,703.42
2012-09-24,685.99
2012-09-25,688.21
2012-09-26,680.47
2012-09-27,662.78
2012-09-28,674.19
2012-10-08,690.35
2012-10-09,691.39
2012-10-10,712.15
2012-10-11,720.39
2012-10-12,711.83
2012-10-15,706.23
2012-10-16,700.94
2012-10-17,706.09
2012-10-18,709.29
2012-10-19,720.85
2012-10-22,716.53
2012-10-23,723.83
2012-10-24,707.31
2012-10-25,707.88
2012-10-26,695.89
2012-10-29,684.34
2012-10-30,688.51
2012-10-31,689.63
2012-11-01,692.06
2012-11-02,702.03
2012-11-05,700.11
2012-11-06,693.36
2012-11-07,689.79
2012-11-08,684.89
2012-11-09,674.59
2012-11-12,674.76
2012-11-13,676.26
2012-11-14,666.4
2012-11-15,662.9
2012-11-16,659.38
2012-11-19,654.78
2012-11-20,657.4
2012-11-21,656.44
2012-11-22,659.13
2012-11-23,652.94
2012-11-26,651.06
2012-11-27,635.26
2012-11-28,611.91
2012-11-29,607.17
2012-11-30,602.95
2012-12-03,605.6
2012-12-04,592.4
2012-12-05,599.45
2012-12-06,625.16
2012-12-07,624.15
2012-12-10,638.24
2012-12-11,645.25
2012-12-12,639.91
2012-12-13,638.09
2012-12-14,631.45
2012-12-17,656.75
2012-12-18,648.56
2012-12-19,645.14
2012-12-20,652.04
2012-12-21,658.54
2012-12-24,666.28
2012-12-25,679.57
2012-12-26,693.29
2012-12-27,709.91
2012-12-28,698.91
2012-12-31,708.24
2013-01-04,717.3
2013-01-07,704.37
2013-01-08,718.43
2013-01-09,732.01
2013-01-10,734.31
2013-01-11,740.9
2013-01-14,735.65
2013-01-15,763.63
2013-01-16,777.04
2013-01-17,773.79
2013-01-18,771.31
2013-01-21,788.07
2013-01-22,792.31
2013-01-23,773.74
2013-01-24,778.64
2013-01-25,757.61
2013-01-28,764.09
2013-01-29,785.76
2013-01-30,791.96
2013-01-31,784.11
2013-02-01,775.11
2013-02-04,783.74
2013-02-05,768.41
2013-02-06,781.32
2013-02-07,792.86
2013-02-08,804.96
2013-02-18,829.66
2013-02-19,834.97
2013-02-20,819.03
2013-02-21,846.64
2013-02-22,837.13
2013-02-25,838.88
2013-02-26,853.28
2013-02-27,852.13
2013-02-28,846.34
2013-03-01,860.8
2013-03-04,880.25
2013-03-05,861.23
2013-03-06,890.23
2013-03-07,902.41
2013-03-08,877.73
2013-03-11,863.12
2013-03-12,869.72
2013-03-13,835.46
2013-03-14,832.29
2013-03-15,841.71
2013-03-18,852.15
2013-03-19,850.06
2013-03-20,842.71
2013-03-21,867.9
2013-03-22,881.9
2013-03-25,882.75
2013-03-26,878.56
2013-03-27,876.55
2013-03-28,877.85
2013-03-29,868.09
2013-04-01,866.65
2013-04-02,875.33
2013-04-03,842.36
2013-04-08,824.78
2013-04-09,854.51
2013-04-10,861.27
2013-04-11,853.14
2013-04-12,847.2
2013-04-15,844.11
2013-04-16,828.94
2013-04-17,845.09
2013-04-18,862.7
2013-04-19,874.88
2013-04-22,890.93
2013-04-23,916.42
2013-04-24,894.69
2013-04-25,924.22
2013-04-26,902.0
2013-05-02,887.08
2013-05-03,916.01
2013-05-06,941.09
2013-05-07,956.42
2013-05-08,960.98
2013-05-09,978.94
2013-05-10,989.15
2013-05-13,989.37
2013-05-14,992.62
2013-05-15,976.95
2013-05-16,1010.95
2013-05-17,1006.47
2013-05-20,1025.17
2013-05-21,1049.6
2013-05-22,1067.44
2013-05-23,1035.31
2013-05-24,1044.29
2013-05-27,1075.83
2013-05-28,1089.77
2013-05-29,1055.6
2013-05-30,1063.0
2013-05-31,1074.48
2013-06-03,1070.73
2013-06-04,1049.1
2013-06-05,1021.02
2013-06-06,1027.05
2013-06-07,1022.56
2013-06-13,1019.47
2013-06-14,1029.93
2013-06-17,1074.53
2013-06-18,1073.31
2013-06-19,1064.74
2013-06-20,1060.38
2013-06-21,1007.87
2013-06-24,1023.22
2013-06-25,958.35
2013-06-26,984.94
2013-06-27,1043.66
2013-06-28,1012.64
2013-07-01,1011.27
2013-07-02,1056.91
2013-07-03,1079.65
2013-07-04,1097.77
2013-07-05,1087.69
2013-07-08,1035.94
2013-07-09,1028.56
2013-07-10,1049.21
2013-07-11,1066.7
2013-07-12,1079.33
2013-07-15,1096.19
2013-07-16,1141.57
2013-07-17,1140.73
2013-07-18,1124.79
2013-07-19,1125.77
2013-07-22,1109.96
2013-07-23,1161.08
2013-07-24,1181.36
2013-07-25,1205.62
2013-07-26,1150.25
2013-07-29,1155.81
2013-07-30,1137.15
2013-07-31,1126.1
2013-08-01,1135.45
2013-08-02,1196.17
2013-08-05,1186.73
2013-08-06,1202.09
2013-08-07,1208.5
2013-08-08,1172.09
2013-08-09,1185.64
2013-08-12,1174.09
2013-08-13,1161.49
2013-08-14,1175.63
2013-08-15,1177.85
2013-08-16,1158.96
2013-08-19,1126.64
2013-08-20,1170.99
2013-08-21,1173.61
2013-08-22,1180.19
2013-08-23,1200.68
2013-08-26,1220.98
2013-08-27,1238.27
2013-08-28,1244.01
2013-08-29,1224.61
2013-08-30,1221.87
2013-09-02,1179.32
2013-09-03,1217.77
2013-09-04,1233.5
2013-09-05,1233.82
2013-09-06,1267.84
2013-09-09,1282.65
2013-09-10,1277.87
2013-09-11,1256.66
2013-09-12,1215.69
2013-09-13,1221.15
2013-09-16,1254.47
2013-09-17,1279.26
2013-09-18,1268.34
2013-09-23,1292.76
2013-09-24,1325.89
2013-09-25,1324.19
2013-09-26,1318.52
2013-09-27,1305.51
2013-09-30,1329.56
2013-10-08,1376.37
2013-10-09,1385.96
2013-10-10,1422.36
2013-10-11,1377.98
2013-10-14,1374.47
2013-10-15,1397.21
2013-10-16,1393.01
2013-10-17,1339.31
2013-10-18,1327.1
2013-10-21,1358.88
2013-10-22,1401.47
2013-10-23,1336.23
2013-10-24,1307.11
2013-10-25,1298.72
2013-10-28,1264.14
2013-10-29,1276.27
2013-10-30,1256.24
2013-10-31,1266.56
2013-11-01,1227.69
2013-11-04,1217.28
2013-11-05,1217.64
2013-11-06,1255.47
2013-11-07,1234.24
2013-11-08,1215.68
2013-11-11,1208.26
2013-11-12,1213.31
2013-11-13,1226.53
2013-11-14,1207.45
2013-11-15,1248.26
2013-11-18,1275.55
2013-11-19,1293.06
